Strain,Category2,Organism-Roary,BapsOne,BapsTwo,Bazinet-Species,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,Cereulide,bceT,Cytk1,Combined
c-NBCE0668,ClinicalInvasive,Bacillus thuringiensis,12,49,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,Cytk1,Combined
c-NBCE0669,ClinicalInvasive,Bacillus cereus,2,12,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0675,ClinicalInvasive,Bacillus cereus,2,8,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0676,ClinicalInvasive,Bacillus thuringiensis,9,38,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,,,,Cytk1,Combined
c-NBCE0678,ClinicalInvasive,Bacillus thuringiensis,9,37,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,HemolysinII,,HBL,EntFM,,,,Combined
c-NBCE0679,ClinicalInvasive,Bacillus cereus,5,22,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0680,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0693,ClinicalInvasive,Bacillus thuringiensis,9,37,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0694,ClinicalInvasive,Bacillus thuringiensis,9,37,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0695,ClinicalInvasive,Bacillus thuringiensis,9,37,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0696,ClinicalInvasive,Bacillus thuringiensis,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0697,ClinicalInvasive,Bacillus thuringiensis,9,37,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0703,ClinicalInvasive,Bacillus thuringiensis,9,37,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0704,ClinicalInvasive,Bacillus thuringiensis,9,37,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0705,ClinicalInvasive,Bacillus thuringiensis,9,37,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0706,ClinicalInvasive,Bacillus thuringiensis,9,37,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0707,ClinicalInvasive,Bacillus thuringiensis,9,37,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0711,ClinicalInvasive,Bacillus cereus,7,28,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0712,ClinicalInvasive,Bacillus cereus,14,53,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0713,ClinicalInvasive,Bacillus cereus,14,52,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0714,ClinicalInvasive,Bacillus cereus,14,52,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0715,ClinicalInvasive,Bacillus cereus,14,52,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0716,ClinicalInvasive,Bacillus cereus,14,52,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0722,ClinicalInvasive,Bacillus cereus,4,19,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0727,ClinicalInvasive,Bacillus cereus,7,30,Phenotypic Bacillus cereus,,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0728,ClinicalInvasive,Bacillus thuringiensis,9,39,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,HemolysinII,,HBL,EntFM,,,,Combined
c-NBCE0734,ClinicalInvasive,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0765,ClinicalInvasive,Bacillus cereus,12,46,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0144,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0145,Colonization,Bacillus cereus,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0146,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0147,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0148,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0154,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0155,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0156,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0157,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0158,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0159,Colonization,Bacillus. thuringiensis,9,37,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,HemolysinII,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0160,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0178,Colonization,Bacillus cereus,10,40,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0179,Colonization,Bacillus cereus,10,40,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0180,Colonization,Bacillus cereus,10,40,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0181,Colonization,Bacillus cereus,10,40,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0182,Colonization,Bacillus cereus,10,40,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0184,Colonization,Bacillus cereus,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0185,Colonization,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0186,Colonization,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0187,Colonization,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0188,Colonization,Bacillus cereus,7,27,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,bceT,Cytk1,Combined
c-NBCE0205,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0206,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0207,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0208,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0209,Colonization,,n/a,n/a,Phenotypic Bacillus cereus,,nhe,,,,,,,,,Combined
c-NBCE0210,Colonization,Bacillus cereus,10,41,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0211,Colonization,Bacillus cereus,10,41,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0212,Colonization,Bacillus cereus,10,41,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0213,Colonization,Bacillus cereus,10,41,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0214,Colonization,Bacillus cereus,10,41,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0215,Colonization,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0216,Colonization,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0217,Colonization,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0218,Colonization,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0219,Colonization,Bacillus cereus,6,23,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0220,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0221,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0222,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0223,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0224,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0225,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0226,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0227,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0228,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0229,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0230,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0231,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0232,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0233,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0234,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0235,Colonization,Bacillus cereus,11,44,Phenotypic Bacillus cereus,PhospholipaseC,,HemolysinIII,,HemolysinA,HBL,,,,Cytk1,Combined
c-NBCE0236,Colonization,Bacillus cereus,11,44,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,,,,Cytk1,Combined
c-NBCE0237,Colonization,Bacillus cereus,11,44,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,,,,Cytk1,Combined
c-NBCE0238,Colonization,Bacillus cereus,11,44,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,,,,Cytk1,Combined
c-NBCE0239,Colonization,Bacillus cereus,11,44,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,,,,Cytk1,Combined
c-NBCE0240,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0241,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0242,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0243,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0244,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0259,Colonization,Bacillus cereus,8,36,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0260,Colonization,Bacillus cereus,8,36,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0261,Colonization,Bacillus cereus,8,36,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0262,Colonization,Bacillus cereus,8,36,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0263,Colonization,Bacillus cereus,8,36,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0274,Colonization,Bacillus cereus,10,41,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,,,,,Combined
c-NBCE0275,Colonization,Bacillus cereus,10,41,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,,,,,Combined
c-NBCE0276,Colonization,Bacillus cereus,10,41,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0277,Colonization,Bacillus cereus,10,41,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0278,Colonization,Bacillus cereus,10,41,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,,,,,Combined
c-NBCE0279,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0280,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0281,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0282,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0283,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0284,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0285,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0286,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0287,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0288,Colonization,Bacillus cereus,5,20,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0294,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0295,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0296,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0297,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0298,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0321,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0322,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0323,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0324,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0325,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0326,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0327,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0328,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0329,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0330,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0331,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0332,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0333,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0334,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0335,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0336,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0337,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0338,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0339,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0340,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0341,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0342,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0343,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0344,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0345,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0346,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0347,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0348,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0349,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0350,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0351,Colonization,Bacillus cereus,12,47,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,Cytk1,Combined
c-NBCE0352,Colonization,Bacillus cereus,12,47,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0353,Colonization,Bacillus cereus,12,47,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0354,Colonization,Bacillus cereus,12,47,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0355,Colonization,Bacillus cereus,12,47,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0356,Colonization,Bacillus cereus,13,50,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0357,Colonization,Bacillus cereus,13,50,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0358,Colonization,Bacillus cereus,13,50,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0359,Colonization,Bacillus cereus,13,50,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0360,Colonization,Bacillus cereus,13,50,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0361,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0362,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0363,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0364,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0365,Colonization,Bacillus cereus,1,3,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,,,,,Combined
c-NBCE0366,Colonization,Bacillus cereus,10,41,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
c-NBCE0367,Colonization,Bacillus cereus,10,41,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,HBL,EntFM,,,,Combined
c-NBCE0368,Colonization,Bacillus cereus,10,41,Phenotypic Bacillus cereus,PhospholipaseC,nhe,HemolysinIII,,HemolysinA,,EntFM,,,,Combined
